Product_Name,Appellation,Rating,Price
Charles Heidsieck NV Champagne Charlie Brut  (Champagne),Champagne,100,$700
Stag's Leap Wine Cellars 2019 Fay Estate Grown Cabernet Sauvignon (Stags Leap District),Napa,100,$155
Marqués de Riscal 2016 150 Aniversario Gran Reserva  (Rioja),Northern Spain,99,$60
Salon 2012 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Champagne,99,$992
Philipponnat 2013 Clos des Goisses Extra Brut  (Champagne),Champagne,99,$320
Stag's Leap Wine Cellars 2019 S.L.V. Estate Grown Cabernet Sauvignon (Stags Leap District),Napa,99,$195
Patrimony 2019 Cabernet Franc (Adelaida District),Central Coast,98,$275
Cliff Lede 2019 Poetry Red (Stags Leap District),Napa,98,$325
Corison 2019 Helios Sunbasket Vineyard Cabernet Franc (St. Helena),Napa,98,$110
Venge 2019 DLCV Cabernet Sauvignon (Oakville),Napa,98,$545
Pol Roger 2013 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne,98,N/A
Cliff Lede 2019 Rock Block Series Roundabout Midnight Cabernet Sauvignon (Stags Leap District),Napa,98,$110
Cliff Lede 2019 Beckstoffer To Kalon Cabernet Sauvignon (Napa Valley),Napa,98,$225
Cliff Lede 2019 Songbook Cabernet Sauvignon (Napa Valley),Napa,98,$225
Patrimony 2019 Cabernet Sauvignon (Adelaida District),Central Coast,97,$275
Masi 2013 Campolongo di Torbe  (Amarone della Valpolicella Classico),Veneto,97,$190
Tierra Roja 2019 Cabernet Sauvignon (Oakville),Napa,97,$175
Vega Sicilia 2012 Unico  (Ribera del Duero),Northern Spain,97,$620
Charles Heidsieck 2007 Blanc de Millénaires Brut Chardonnay (Champagne),Champagne,97,$290
Stolpman 2020 Originals Syrah (Ballard Canyon),Central Coast,97,$42
Charles Heidsieck NV Champagne Charlie Brut  (Champagne),Champagne,100,$700
Stag's Leap Wine Cellars 2019 Fay Estate Grown Cabernet Sauvignon (Stags Leap District),Napa,100,$155
Marqués de Riscal 2016 150 Aniversario Gran Reserva  (Rioja),Northern Spain,99,$60
Salon 2012 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Champagne,99,$992
Philipponnat 2013 Clos des Goisses Extra Brut  (Champagne),Champagne,99,$320
Stag's Leap Wine Cellars 2019 S.L.V. Estate Grown Cabernet Sauvignon (Stags Leap District),Napa,99,$195
Patrimony 2019 Cabernet Franc (Adelaida District),Central Coast,98,$275
Cliff Lede 2019 Poetry Red (Stags Leap District),Napa,98,$325
Corison 2019 Helios Sunbasket Vineyard Cabernet Franc (St. Helena),Napa,98,$110
Venge 2019 DLCV Cabernet Sauvignon (Oakville),Napa,98,$545
Pol Roger 2013 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne,98,N/A
Cliff Lede 2019 Rock Block Series Roundabout Midnight Cabernet Sauvignon (Stags Leap District),Napa,98,$110
Cliff Lede 2019 Beckstoffer To Kalon Cabernet Sauvignon (Napa Valley),Napa,98,$225
Cliff Lede 2019 Songbook Cabernet Sauvignon (Napa Valley),Napa,98,$225
Patrimony 2019 Cabernet Sauvignon (Adelaida District),Central Coast,97,$275
Masi 2013 Campolongo di Torbe  (Amarone della Valpolicella Classico),Veneto,97,$190
Tierra Roja 2019 Cabernet Sauvignon (Oakville),Napa,97,$175
Vega Sicilia 2012 Unico  (Ribera del Duero),Northern Spain,97,$620
Charles Heidsieck 2007 Blanc de Millénaires Brut Chardonnay (Champagne),Champagne,97,$290
Stolpman 2020 Originals Syrah (Ballard Canyon),Central Coast,97,$42
Patrimony 2019 Cabernet Franc (Adelaida District),Central Coast,98,$275
Cliff Lede 2019 Poetry Red (Stags Leap District),Napa,98,$325
Corison 2019 Helios Sunbasket Vineyard Cabernet Franc (St. Helena),Napa,98,$110
Venge 2019 DLCV Cabernet Sauvignon (Oakville),Napa,98,$545
Pol Roger 2013 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne,98,N/A
Cliff Lede 2019 Rock Block Series Roundabout Midnight Cabernet Sauvignon (Stags Leap District),Napa,98,$110
Cliff Lede 2019 Beckstoffer To Kalon Cabernet Sauvignon (Napa Valley),Napa,98,$225
Cliff Lede 2019 Songbook Cabernet Sauvignon (Napa Valley),Napa,98,$225
Patrimony 2019 Cabernet Sauvignon (Adelaida District),Central Coast,97,$275
Masi 2013 Campolongo di Torbe  (Amarone della Valpolicella Classico),Veneto,97,$190
Tierra Roja 2019 Cabernet Sauvignon (Oakville),Napa,97,$175
Vega Sicilia 2012 Unico  (Ribera del Duero),Northern Spain,97,$620
Charles Heidsieck 2007 Blanc de Millénaires Brut Chardonnay (Champagne),Champagne,97,$290
Stolpman 2020 Originals Syrah (Ballard Canyon),Central Coast,97,$42
Spottswoode 2019 Family Estate Grown Cabernet Sauvignon (St. Helena),Napa,97,$245
Tolosa 2020 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Central Coast,97,$132
Tres Perlas 2019 Desde Luisa Beckstoffer To Kalon Cabernet Sauvignon (Napa Valley),Napa,97,$250
Viñedos de Paganos 2018 La Nieta  (Rioja),Northern Spain,97,$150
Taub Family Vineyards 2019 Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon (Napa Valley),Napa,96,$125
Testarossa 2020 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Central Coast,96,$74
Tablas Creek 2020 Esprit de Tablas Red (Adelaida District),Central Coast,96,$65
Bodegas Faustino 2004 Gran Faustino I Gran Reserva  (Rioja),Northern Spain,96,$105
Stolpman 2019 Sun & Earth Ruben Solorzano Red (Ballard Canyon),Central Coast,96,$98
Tolosa 2020 Poletti Edna Ranch Chardonnay (Edna Valley),Central Coast,96,$94
Tres Perlas 2019 Renteria 360 Vineyard Cabernet Sauvignon (Oakville),Napa,96,$165
Davies Vineyard 2020 Hyde Vineyards Pinot Noir (Carneros-Napa Valley),Napa,96,$75
Sky Devil 2019 Reisacher Vineyard Cabernet Franc (Knights Valley),Sonoma,96,$325
Devil Proof 2019 Farrow Ranch Malbec (Alexander Valley),Sonoma,96,$275
Bodegas Benjamin de Rothschild & Vega Sicilia 2017 Macán  (Rioja),Northern Spain,96,$110
Bodegas Olarra 2011 Laztana Gran Reserva  (Rioja),Northern Spain,96,$60
R. Lopez de Heredia 2010 Viña Tondonia Reserva  (Rioja),Northern Spain,96,$55
Talley 2020 Syrah (Arroyo Grande Valley),Central Coast,96,$60
Paltrinieri 2020 La Riserva  (Lambrusco di Sorbara),Central Italy,96,$28
Lineage 2019 The Premier Cabernet Sauvignon (Livermore Valley),Central Coast,96,$125
Hertelendy 2018 Signature Mountain Red (Napa Valley),Napa,96,$150
Talley 2019 The Adobe Pinot Noir (Arroyo Grande Valley),Central Coast,96,$150
Taub Family Vineyards 2019 Cabernet Sauvignon (Mount Veeder),Napa,96,$85
Ancien 2019 Jouissance Pinot Noir (Russian River Valley),Sonoma,96,$58
Mayacamas 2018 Cabernet Sauvignon (Mount Veeder),Napa,96,$150
Caladan 2019 Cabernet Franc (Napa Valley),Napa,96,$250
Croix 2020 Richard Dinner Vineyard Chardonnay (Sonoma Mountain),Sonoma,96,$75
Baca 2020 Tug o' War Maffei Vineyard Zinfandel (Russian River Valley),Sonoma,95,$70
Pine Ridge 2019 Cabernet Sauvignon (Stags Leap District),Napa,95,$140
Stolpman 2020 The Great Places August James Stolpman Syrah (Ballard Canyon),Central Coast,95,$98
Charles Heidsieck 2008 Rosé Millésimé Brut  (Champagne),Champagne,95,$170
Gosset 2008 Célébris Rosé Brut  (Champagne),Champagne,95,$215
La Jota Vineyard 2019 Cabernet Franc (Howell Mountain),Napa,95,$125
Raymond 2019 District Collection Cabernet Sauvignon (Howell Mountain),Napa,95,$115
Tedeschi 2018 Marne 180  (Amarone della Valpolicella),Veneto,95,$60
Shared Notes 2021 Les Leçons des Maîtres Sauvignon Blanc-Semillon (Russian River Valley),Sonoma,95,$75
Tolosa 2020 Drum Canyon Vineyard Pinot Noir (Sta. Rita Hills),Central Coast,95,$132
Ten Acre 2019 Earl Stephens Vineyard Pinot Noir (Russian River Valley),Sonoma,95,$70
Three Sticks 2020 Alana Vineyard Chardonnay (Russian River Valley),Sonoma,95,$75
Alberto Orte 2010 La Antigua Clásico Gran Reserva  (Rioja),Northern Spain,95,$60
Señorío de Sotillo 2012 Gran Reserva  (Ribera del Duero),Northern Spain,95,N/A
Terre Rouge 2019 Ascent Syrah (Sierra Foothills),Sierra Foothills,95,$100
Ridge 2020 Evangelho Red (Contra Costa County),Central Coast,95,$37
Taub Family Vineyards 2018 Cabernet Sauvignon (Mount Veeder),Napa,95,$85
Ancien 2019 Mink Vineyard Pinot Noir (Coombsville),Napa,95,$60
Gosset 2008 Célébris Brut  (Champagne),Champagne,95,$195
Tres Perlas 2020 Renteria Brown Ranch Chardonnay (Los Carneros),Napa-Sonoma,95,$80
Turnbull 2019 Fortuna Vineyard Estate Grown Cabernet Sauvignon (Oakville),Napa,95,$145
MacRostie 2020 Dutton Ranch Chardonnay (Russian River Valley),Sonoma,95,$48
Masi 2013 Mazzano  (Amarone della Valpolicella Classico),Veneto,95,$190
Penfolds 2019 Bin 149 Wine of the World Cabernet Sauvignon (America),US,95,$150
Thacher 2019 Homestead Hill Vineyard Syrah (Paso Robles Willow Creek District),Central Coast,95,$52
Marimar 2019 Doña Margarita Vineyard Método Antiguo Pinot Noir (Sonoma Coast),Sonoma,95,$66
Three Sticks 2020 William James Vineyard Pinot Noir (Russian River Valley),Sonoma,95,$75
Stag's Leap Wine Cellars 2020 Arcadia Chardonnay (Napa Valley),Napa,95,$65
Future Perfect 2021 The Joy Fantastic Vineyard Pinot Noir (Sta. Rita Hills),Central Coast,95,$70
Spottswoode 2019 Lyndenhurst Cabernet Sauvignon (Napa Valley),Napa,95,$90
Rolland & Galarreta 2014 Tempranillo  (Rioja),Northern Spain,95,$18
Vega Sicilia NV Unico Reserva Especial  (Ribera del Duero),Northern Spain,95,$825
Veuve Clicquot Ponsardin 2012 La Grande Dame Rosé Brut  (Champagne),Champagne,95,$320
Philipponnat 2015  Champagne,Champagne,95,N/A
Pol Roger 2015 Vintage Brut  (Champagne),Champagne,95,N/A
Raymond 2019 District Collection Cabernet Sauvignon (Diamond Mountain District),Napa,95,$110
Rusack 2019 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Central Coast,95,$40
Pol Roger 2015 Vintage Brut  (Champagne),Champagne,95,N/A
Patz & Hall 2019 Chenoweth Ranch Pinot Noir (Russian River Valley),Sonoma,95,$65
Stonestreet 2019 Upper Barn Vineyard Chardonnay (Alexander Valley),Sonoma,95,$150
Davies 2019 Renteria 360 Vineyard Cabernet Sauvignon (Oakville),Napa,95,$115
Gallo Signature Series 2019 Gina Gallo Cabernet Sauvignon (Napa Valley),Napa,95,$55
Iron Horse 2018 Russian River Cuvée Sparkling (Green Valley),Sonoma,95,$56
Venge 2019 Bone Ash Vineyard Cabernet Sauvignon (Calistoga),Napa,95,$125
Cliff Lede 2019 Cabernet Sauvignon (Stags Leap District),Napa,95,$82
Devil Proof 2019 Rockpile Ridge Malbec (Rockpile),Sonoma,95,$275
Patz & Hall 2019 Chenoweth Ranch Pinot Noir (Russian River Valley),Sonoma,95,$65
Stonestreet 2019 Upper Barn Vineyard Chardonnay (Alexander Valley),Sonoma,95,$150
Captûre 2019 Estate Vineyard Merlot (Pine Mountain-Cloverdale Peak),Sonoma,95,$65
Contino 2018 Reserva  (Rioja),Northern Spain,95,$50
Hunnicutt 2019 Brinkman Block Cabernet Sauvignon (Rutherford),Napa,95,N/A
Kosta Browne 2020 One-Sixteen Chardonnay (Russian River Valley),Sonoma,95,$85
Mirror 2019 Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),Napa,95,N/A
Tedeschi 2016 Maternigo Riserva  (Amarone della Valpolicella),Veneto,95,$175
Tres Perlas 2021 Daughters Brown Ranch Rosé of Pinot Noir (Los Carneros),Napa-Sonoma,95,$50
Medlock Ames 2019 Stonebreaker Cabernet Franc (Alexander Valley),Sonoma,95,N/A
Ancien 2019 Red Dog Pinot Noir (Sonoma Mountain),Sonoma,95,$65
Gary Farrell 2019 Rochioli Vineyard Pinot Noir (Russian River Valley),Sonoma,95,$85
LVE 2019 Legend Vineyard Exclusive Cabernet Sauvignon (Napa Valley),Napa,95,$85
